Country;Region;SDGi;Life Expectancy;HDI;Per Capita GDP;Income Group;Population (millions);Cropland Footprint;Grazing Footprint;Forest Product Footprint;Carbon Footprint;Fish Footprint;Built up land;Total Ecological Footprint (Consumption);Cropland;Grazing land;Forest land;Fishing ground;Built up land;Total biocapacity ;Ecological (Deficit) or Reserve;Number of Earths required;Number of Countries required
"Korea; Democratic People's Republic of";Asia-Pacific;;73;;;LI;26;0.2;0;0.1;0.8;0;0;1.2;0.2;0;0.217929758;0.090722533;0.046666807;0.533428165;-0.66476965;0.793395326;2.246.221.504
"Korea; Republic of";Asia-Pacific;77.9;84;0.93;"$45;438 ";HI;51.3;0.7;0.2;0.2;4.2;0.5;0.1;5.8;0.1;0;0.087249585;0.383578197;0.07026965;0.64688681;-5.174.542.893;3.854.701.669;8.999.147.325
Kuwait;Middle East/Central Asia;64.5;79;0.83;"$43;613 ";HI;4.4;0.7;0.4;0.1;6.4;0.5;0.5;8.6;0;0;0.002696897;0.285763528;0.48770005;0.807349671;-7.743.805.155;5.662.208.848;1.059.163.722
Kyrgyzstan;Middle East/Central Asia;73.7;72;0.69;"$4;764 ";LI;6.7;0.5;0.2;0;0.6;0;0.1;1.5;0.5;0.5;0.098421885;0.04534529;0.073230364;125.343.204;-0.256931902;1.000.098.378;1.204.982.714
Lao People's Democratic Republic;Asia-Pacific;63.4;68;0.61;"$7;866 ";LM;7.5;0.7;0.2;0.3;0.5;0;0.2;1.9;0.7;0.1;0.609881989;0.029401418;0.195268964;1.641.909.183;-0.217734454;1.231.376.448;1.132.610.534
Latvia;EU-27;80.3;73;0.86;"$31;973 ";HI;1.8;1.8;0.2;4;1.5;0.2;0.1;7.7;2.8;0.2;4.551.672.552;2.196.984.142;0.102247668;9.930.483.467;2.205.903.606;5.114.886.273;0.777865437
Lebanon;Middle East/Central Asia;66.3;75;0.71;;UM;6.7;0.6;0.3;0.1;1.9;0.1;0.1;3.1;0.1;0;0.04789176;0.006245492;0.086278583;0.318992262;-2.826.603.856;2.082.879.159;9.861.042.076
Lesotho;Africa;55.1;53;0.51;"$2;599 ";LM;2.2;;;;;;;1.2;;;;;;0.723708258;-0.427347297;0.762179739;1.590.496.643
Liberia;Africa;49.9;61;0.48;"$1;524 ";LI;5.3;0.2;0;0.7;0.1;0.1;0;1.2;0.1;0.3;1.991.241.595;0.256777493;0.039727176;2.731.745.972;1.489.184.417;0.822771096;0.454859847
Lithuania;EU-27;75.4;74;0.88;"$39;810 ";UM;2.7;1.8;0.3;1.3;2.6;0.2;0.2;6.4;2.8;0.3;2.283.057.719;0.349368846;0.163432462;5.967.089.276;-0.461161462;4.256.512.594;1.077.284.157
Luxembourg;EU-27;75.7;83;0.93;"$120;505 ";HI;0.6;0.9;0.5;1.4;8;0.1;0.1;11;0.4;0.1;0.657103758;0.000885374;0.067119396;1.228.958.605;-973.044.912;7.256.850.877;8.917.637.809
Madagascar;Africa;50.1;64;0.5;"$1;523 ";LI;29.2;0.2;0.2;0.2;0.1;0;0.1;0.8;0.2;1;0.580164786;0.162087995;0.063442166;1.978.753.711;1.184.725.168;0.525771727;0.401277096
Malawi;Africa;53.3;63;0.51;"$1;373 ";LI;20.2;0.4;0.1;0.2;0;0;0.1;0.7;0.4;0.1;0.012361597;0.043757689;0.088266461;0.576487738;-0.147794125;0.47958846;1.256.369.937
Malaysia;Asia-Pacific;70.4;75;0.8;"$28;180 ";UM;33.2;0.7;0.1;0.4;2.4;0.5;0.1;4.2;0.7;0;0.530150447;0.732839346;0.128678809;2.062.303.764;-218.007.516;2.809.121.806;2.057.106.716
Mali;Africa;54.1;59;0.43;"$2;206 ";LI;21.5;0.3;0.4;0.1;0.1;0;0.1;1;0.4;0.5;0.433902546;0.032660782;0.052643001;1.368.689.788;0.367915862;0.662669674;0.731191198
Malta;EU-27;76.8;83;0.92;"$46;806 ";HI;0.4;;;;;;;3.7;;;;;;0.467363732;-3.254.616.382;246.453.598;7.963.776.091
Martinique;Central America/Caribbean;;;;;;0.4;;;;;;;3.5;;;;;;0.510104348;-2.992.698.262;2.319.406.014;6.866.835.435
Mauritania;Africa;55.8;64;0.56;"$5;927 ";LM;4.9;0.4;1.3;0.2;0.4;0;0;2.3;0.1;2.4;0.049552859;1.116.999.731;0.029604019;3.653.577.326;1.397.169.821;1.494.096.505;0.617588545
Mauritius;Africa;68.4;74;0.8;"$21;450 ";UM;1.3;;;;;;;2.6;;;;;;0.675477406;-1.928.109.761;1.723.984.022;3.854.440.052
Mexico;North America;70.2;70;0.76;"$19;028 ";UM;131.6;0.5;0.2;0.3;1.1;0.1;0.1;2.3;0.3;0.2;0.427634638;0.132918606;0.082561173;1.202.798.995;-1.082.430.614;1.513.181.269;1.899.926.437
Mongolia;Asia-Pacific;63.5;71;0.74;"$11;435 ";LM;3.4;0.6;4.7;0.1;2.2;0;0;7.7;0.4;6.8;6.197.277.782;0.074457563;0.015806037;1.351.424.822;580.652.981;510.372.134;0.570340154
Montenegro;Other Europe;68.8;74;0.83;"$21;308 ";UM;0.6;0.5;0.4;1.1;1.3;0.1;0.3;3.7;0;0.3;1.925.736.937;0.248617634;0.27905659;2.828.793.864;-0.821806374;241.727.128;1.290.514.761
Morocco;Africa;69;74;0.68;"$7;744 ";LM;37.8;0.5;0.2;0.1;0.6;0.1;0;1.5;0.2;0.2;0.084511722;0.065308994;0.031137202;0.565398289;-0.979869888;102.321.047;2.733.061.291
Mozambique;Africa;53.6;59;0.45;"$1;232 ";LI;33.1;0.2;0.1;0.2;0.2;0;0;0.8;0.2;0.6;0.433448963;0.12872671;0.047797027;1.385.576.072;0.614345946;0.510675591;0.55661334
Myanmar;Asia-Pacific;64.3;66;0.59;"$4;090 ";LI;55.2;0.4;0;0.3;0.2;0;0.1;1.1;0.5;0;0.499646595;0.281436417;0.057071596;1.362.234.437;0.248014203;0.737788965;0.817935741
Namibia;Africa;62.7;59;0.62;"$8;949 ";UM;2.6;0.3;0.8;0.3;0.9;0;0;2.4;0.1;1.4;0.289487076;4.240.215.963;0.018877714;6.122.942.025;3.737.652.781;1.579.436.478;0.389565871
Nepal;Asia-Pacific;66.2;68;0.6;"$3;921 ";LI;30.2;0.3;0.1;0.2;0.3;0;0.1;0.9;0.2;0;0.086229445;0.004625979;0.100555424;0.390028925;-0.51042717;0.596243498;2.308.690.555
Netherlands;EU-27;79.9;81;0.94;"$58;732 ";HI;17.2;;;;;;;6;;;;;;1.113.508.517;-4.908.468.884;3.987.495.773;5.408.110.768
New Zealand;Asia-Pacific;78.3;82;0.94;"$43;178 ";HI;4.9;;;;;;;5.4;;;;;;8.447.231.686;3.021.001.811;3.593.017.251;0.642367828
Nicaragua;Central America/Caribbean;67.1;74;0.67;"$6;056 ";LM;6.8;0.5;0.2;0.4;0.4;0;0.1;1.5;0.6;0.5;0.696956617;0.426086185;0.09010544;2.310.417.773;0.816845391;0.988979727;0.646451218
Niger;Africa;52.2;62;0.4;"$1;229 ";LI;26.1;0.7;0.3;0.2;0.1;0;0;1.4;0.7;0.3;0.030725086;0.000422347;0.013122162;1.074.301.895;-0.276005627;0.894115866;1.256.916.262
Nigeria;Africa;54.2;53;0.54;"$5;013 ";LM;216.7;0.3;0.1;0.2;0.2;0;0;0.8;0.3;0.1;0.033039166;0.01450929;0.047224406;0.446354238;-0.354981077;0.530609959;1.795.290.033
Norway;Other Europe;82.3;83;0.96;"$66;643 ";HI;5.5;0.9;0.1;0.8;2.6;0.9;0.1;5.4;0.2;0.1;3.439.090.343;2.879.183.276;0.1350639;6.747.554.557;1.348.820.882;3.574.810.445;0.800102264
Oman;Middle East/Central Asia;69.2;73;0.82;"$30;222 ";HI;5.3;0.7;0.3;0.1;4.9;0.8;0.5;7.3;0.1;0;0.001006289;1.181.415.343;0.51744752;1.801.254.966;-5.480.212.207;482.147.601;4.042.441.137
Pakistan;Asia-Pacific;59.3;66;0.54;"$5;542 ";LM;229.5;0.3;0;0.1;0.3;0;0;0.7;0.3;0;0.016762376;0.027482753;0.044070495;0.361549059;-0.368417693;0.48335275;2.018.997.791
Panama;Central America/Caribbean;64;76;0.81;"$30;907 ";UM;4.4;0.6;0.4;0.2;0.8;0.4;0.1;2.3;0.3;0.4;1.323.250.976;0.528577331;0.081230734;2.627.580.918;0.307799378;153.606.008;0.882858269
Papua New Guinea;Asia-Pacific;53.6;65;0.56;"$3;682 ";LM;9.3;0.2;0;0.3;0.2;0.2;0.2;1.2;0.2;0;1.954.178.013;0.519162506;0.169813039;2.900.181.196;1.745.338.463;0.764687446;0.398196752
Paraguay;South America;67.4;70;0.72;"$12;359 ";LM;7.3;0.7;0.8;0.9;0.7;0;0.1;3.2;1.9;2.3;5.336.883.702;0.051431432;0.109623515;9.647.940.739;6.497.611.479;2.086.013.243;0.32652867
Peru;South America;71.9;72;0.76;"$12;878 ";UM;33.7;0.6;0.5;0.1;0.5;0.4;0.1;2.2;0.5;0.5;2.351.926.112;0.180927444;0.094338937;3.546.836.383;13.089.486;1.481.833.538;0.630953205
Philippines;Asia-Pacific;66.6;69;0.7;"$8;768 ";LM;112.5;0.3;0;0.1;0.5;0.2;0.1;1.2;0.2;0;0.071795096;0.057197699;0.067062712;0.402745802;-0.77663592;0.780936114;2.928.352.614
Poland;EU-27;80.5;76;0.88;"$35;703 ";HI;37.7;1;0;0.8;2.6;0.1;0.1;4.6;1;0.1;0.684798759;0.105937226;0.123989819;2.016.241.672;-2.632.431.214;3.078.152.283;2.305.612.938
Portugal;EU-27;79.2;81;0.87;"$34;950 ";HI;10.1;0.8;0.4;0.4;1.6;0.4;0.1;3.7;0.3;0.2;0.835073402;0.075106238;0.062307541;1.478.047.303;-2.241.348.574;2.462.824.809;2.516.425.468
Qatar;Middle East/Central Asia;66.8;79;0.86;"$96;605 ";HI;3;0.7;0.3;0.2;11.6;0.2;0.1;13.1;0;0;0;0.902741632;0.116206201;103.899.563;-1.208.733.856;8.691.696.866;1.263.367.603
Republic of Moldova;Other Europe;73.9;69;0.77;"$14;320 ";LM;4;;;;;;;1.5;;;;;;1.009.467.663;-0.512739072;100.794.017;150.793.016
Republic of North Macedonia;Other Europe;72.3;75;0.77;"$16;896 ";UM;2.1;0.7;0.3;0.3;1.5;0;0;2.8;0.5;0.3;0.698503606;0.008635438;0.04398368;155.133.585;-1.262.256.192;1.863.040.266;1.813.657.592
RÈunion;Africa;;;;;;0.9;;;;;;;3.5;;;;;;0.123645377;-3.367.670.784;2.311.800.179;2.823.652.807
Romania;EU-27;77.7;73;0.82;"$31;367 ";UM;19;0.6;0.1;0.5;1.4;0;0.1;2.7;0.9;0.2;1.078.524.771;0.101551682;0.103657575;2.450.628.155;-0.287037123;1.812.764.811;1.117.127.979
Russian Federation;Other Europe;74.1;69;0.82;"$25;706 ";UM;145.8;1.2;0.1;0.7;3.6;0.2;0;5.8;1.9;0.3;4.210.828.797;1.187.785.838;0.026224688;7.712.083.888;1.910.912.299;3.841.287.612;0.752218424
Rwanda;Africa;59.4;66;0.53;"$2;405 ";LI;13.6;0.2;0;0.2;0.1;0;0;0.6;0.2;0;0.00673208;0.00447253;0.038914646;0.243488781;-0.31054098;0.366854802;2.275.381.063
Saint Lucia;Central America/Caribbean;;71;0.72;"$14;140 ";UM;0.2;0.5;0.1;0.1;0.9;0.2;0;1.7;0.1;0;0.095920288;0.144040383;0.002131223;0.376356935;-1.335.471.567;113.349.959;4.548.417.589
Saint Vincent and Grenadines;Central America/Caribbean;;70;0.75;"$13;280 ";UM;0.1;;;;;;;1.8;;;;;;1.155.476.716;-0.659357094;1.201.705.298;1.570.636.417
Samoa;Asia-Pacific;0;73;0.71;"$5;084 ";LM;0.2;;;;;;;2.5;;;;;;1.662.282.108;-0.82147034;1.644.634.599;1.494.182.267
Sao Tome and Principe;Africa;59.4;68;0.62;"$4;010 ";LM;0.2;;;;;;;1.1;;;;;;0.700090513;-0.351779258;0.696503156;1.502.476.825
Saudi Arabia;Middle East/Central Asia;66.6;77;0.88;"$47;423 ";HI;35.8;0.8;0.2;0.2;4.5;0.1;0;5.7;0.4;0.1;0.049429421;0.140564155;0.043026058;0.697532479;-5.047.947.389;3.804.410.937;823.686.358
Senegal;Africa;58.7;67;0.51;"$3;505 ";LM;17.7;0.5;0.2;0.2;0.2;0.1;0;1.2;0.3;0.1;0.345240162;0.137812508;0.044698919;1.000.162.642;-0.219361335;0.807516598;1.219.325.663
Serbia;Other Europe;75.9;73;0.8;"$20;474 ";UM;8.7;1;0.1;0.6;2;0;0.1;3.8;1.3;0;0.550451908;0.004598381;0.111434224;2.054.991.936;-1.775.586.759;2.536.445.314;1.864.035.877
Sierra Leone;Africa;53;60;0.48;"$1;677 ";LI;8.3;0.5;0.1;0.3;0.1;0.1;0;1;0.4;0.2;0.114758269;0.157742667;0.033035202;0.921573084;-0.124702882;0.692799178;1.135.315.239
Singapore;Asia-Pacific;71.7;83;0.94;"$112;699 ";HI;5.9;0.6;0.3;0;4.4;0.4;0.1;5.7;0;0;0.002074859;0.012136597;0.089583924;0.104126803;-5.633.904.237;3.799.478.642;5.510.618.678
Slovakia;EU-27;78.7;75;0.85;"$33;079 ";HI;5.5;0.8;0.2;0.6;2.4;0;0.1;4.2;0.9;0.1;1.526.890.059;0.006210991;0.117204922;2.665.671.799;-1.493.307.176;2.753.897.928;1.560.199.187
Slovenia;EU-27;;81;0.92;"$41;570 ";HI;2.1;0.7;0.2;1.3;2.4;0.1;0.1;4.8;0.4;0.2;185.220.056;0.005133365;0.078533372;2.485.838.691;-2.296.160.244;3.166.435.088;1.923.696.397
Solomon Islands;Asia-Pacific;0;70;0.56;"$2;043 ";LI;0.7;;;;;;;1.7;;;;;;3.324.442.199;165.949.821;1.102.454.672;0.500819052
Somalia;Africa;45.6;55; ;"$1;132 ";LI;16.8;0.2;0.3;0.4;0;0;0;0.9;0.1;0.3;0.116078143;0.196020781;0.017672179;0.712411364;-0.17897815;0.590239996;1.251.228.657
South Africa;Africa;63.7;62;0.71;"$13;157 ";UM;60.8;0.6;0.1;0.2;2.2;0.1;0.1;3.2;0.5;0.5;0.031594415;0.150192177;0.050031339;1.275.586.245;-1.937.300.307;2.127.436.006;2.518.752.898
South Sudan;Africa;39;55;0.39;$794 ;LM;11.6;0.3;1.1;0.2;0.1;0;0;1.7;0.3;1.1;0.363152422;0.006688914;0.023624027;1.782.236.013;0.11319203;1.105.169.512;0.936488754
Spain;EU-27;79.9;83;0.91;"$39;753 ";HI;46.7;1.2;0.2;0.2;1.8;0.5;0.1;3.9;1.1;0.1;0.411346213;0.060670944;0.057379487;172.215.542;-2.193.410.924;2.592.720.499;2.273.642.842
Sudan;Africa;49.6;65;0.51;"$3;804 ";LM;46;0.3;0.5;0.1;0.2;0;0;1.1;0.4;0.5;0.218923148;0.018979283;0.019533009;1.131.661.469;-0.010194273;0.756088016;1.009.008.236
Suriname;South America;71.6;70;0.73;"$14;818 ";UM;0.6;0.3;0;0.9;1.7;0.1;0.1;3.1;0.3;0;6.794.996.108;6.479.268.601;0.103943459;7.483.845.211;7.169.935.685;2.078.574.567;0.041944952
Sweden;EU-27;85.2;83;0.95;"$53;897 ";HI;10.2;1;0.3;1.3;2.1;0.1;0.2;4.9;0.7;0.1;5.523.063.853;2.011.729.656;0.186263431;851.950.749;3.581.579.343;3.269.684.741;0.579602536
Switzerland;Other Europe;80.8;84;0.96;;HI;8.8;0.6;0.2;0.3;2.4;0;0.2;3.7;0.2;0.1;0.649536393;0.007490124;0.172590045;1.126.134.218;-2.609.829.847;2.473.795.553;3.317.512.252
Syrian Arab Republic;Middle East/Central Asia;57.4;72;0.58;;LM;19.4;0.4;0.1;0;0.5;0;0;1;0.4;0.1;0.043465752;0.003758641;0.02230716;0.599874724;-0.397388392;0.660344966;1.662.452.302
Tajikistan;Middle East/Central Asia;69.7;72;0.69;"$3;966 ";LI;10;0.3;0.1;0.2;0.3;0;0.1;1.1;0.2;0.1;0.005301274;0.009601452;0.104688276;0.447701438;-0.613270415;0.702530165;2.369.820.071
"Tanzania; United Republic of";Africa;57.4;66;0.55;"$2;876 ";LI;63.3;0.3;0.2;0.2;0.1;0.1;0;0.9;0.3;0.2;0.116900753;0.044997696;0.044710962;0.79975609;-0.126549295;0.613359792;1.158.234.863
Thailand;Asia-Pacific;;79;0.8;"$18;036 ";UM;70.1;0.5;0;0.2;1.4;0.2;0.1;2.3;0.6;0;0.218597139;0.183869718;0.09013437;1.143.619.577;-1.201.624.761;1.552.920.455;2.050.720.698
Timor-Leste;Asia-Pacific;0;68;0.61;"$2;860 ";LM;1.4;0.3;0.1;0;0.1;0.1;0;0.6;0.2;0.1;0.541295654;0.794154161;0.021591527;159.116.224;1.024.141.801;0.375456674;0.356356143
Togo;Africa;;62;0.54;"$2;226 ";LI;8.7;0.3;0.1;0.2;0.2;0.1;0;0.9;0.3;0.1;0.101009487;0.016329918;0.019096604;0.553858253;-0.339253802;0.591380589;1.612.528.207
Tonga;Asia-Pacific;0;71;0.75;"$5;810 ";LM;0.1;;;;;;;3.1;;;;;;1.256.949.734;-1.833.476.113;2.046.347.766;245.867.099
Trinidad and Tobago;Central America/Caribbean;60.4;73;0.81;"$25;596 ";HI;1.4;0.4;0.2;0.2;4.5;0.1;0;5.4;0;0;0.124025214;1.208.082.975;0.000993573;137.945.418;-401.364.274;3.571.078.026;3.909.587.573
Tunisia;Africa;70.7;74;0.73;"$10;535 ";UM;12;0.1;0.1;0.2;0.9;0.1;0;1.4;0.4;0.1;0.031424658;0.210163693;0.025266878;0.716018316;-0.645334105;0.901429325;1.901.281.561
Turkiye;Middle East/Central Asia;70.4;76;0.84;"$32;109 ";UM;85.6;0.9;0.1;0.3;1.9;0;0;3.4;0.8;0.1;0.532112634;0.039326179;0.042962586;1.478.215.807;-191.661.569;2.247.912.163;2.296.573.668
Turkmenistan;Middle East/Central Asia;66.1;69;0.75;"$16;151 ";LM;6.2;0.4;0.5;0;2.9;0;0;3.9;0.4;1.6;0.011837418;0.104249496;0.0463727;2.152.708.107;-1.708.096.742;2.556.459.779;1.793.464.165
Uganda;Africa;54.9;63;0.53;;LI;48.4;0.3;0.1;0.4;0.1;0.1;0;1;0.3;0.1;0.008342447;0.032039474;0.033057533;0.478872706;-0.499087529;0.647563423;2.042.213.355
Ukraine;Other Europe;75.7;70;0.77;;LM;43.2;;;;;;;2;;;;;;30.867.497;1.073.227.971;1.333.267.937;0.652311306
United Arab Emirates;Middle East/Central Asia;68.8;79;0.91;"$67;026 ";HI;10.1;0.8;0.6;0.6;6.5;0.3;0;8.7;0;0;0.061907523;0.450007816;0;0.543236143;-817.159.126;5.770.585.826;1.604.242.927
United Kingdom;Other Europe;80.6;81;0.93;"$47;366 ";HI;68.5;0.7;0.2;0.4;2.1;0.1;0.1;3.6;0.4;0.1;0.150714141;0.286077624;0.097711509;1.020.497.152;-2.544.799.528;2.360.786.914;3.493.686.065
United States of America;North America;74.6;76;0.92;"$65;118 ";HI;334.8;1.3;0.3;0.8;4.8;0.1;0.1;7.5;1.7;0.2;1.433.903.996;0.313289262;0.051251989;3.720.832;-3.739.800.091;4.940.111.353;2.005.097.809
Uruguay;South America;;75;0.81;"$22;837 ";UM;3.5;0.3;0.6;0.4;0.7;0;0.1;2.2;1.1;4.9;1.329.715.171;2.190.588.968;0.082052832;9.557.758.836;7.395.636.352;1.431.664.998;0.226216472
Uzbekistan;Middle East/Central Asia;69.9;71;0.73;;LM;34.4;0.5;0.2;0.1;1.2;0;0.1;2.1;0.4;0.2;0.053231593;0.008917271;0.065883123;0.730073847;-1.377.057.783;1.395.252.408;2.886.189.717
Vanuatu;Asia-Pacific;0;70;0.61;"$2;442 ";LM;0.3;;;;;;;1.8;;;;;;18.364.544;0.006197676;1.211.917.691;0.996625195
"Venezuela; Bolivarian Republic of";South America;60.3;71;0.69;;UM;29.3;0.3;0.6;0.1;0.9;0.1;0;2.1;0.2;0.6;1.805.860.893;0.259061964;0.043885182;2.945.991.731;0.836455041;1.396.844.936;0.716070133
Viet Nam;Asia-Pacific;72.8;74;0.7;"$11;032 ";LM;99;0.5;0;0.4;1.3;0.1;0.1;2.4;0.4;0;0.155676974;0.149952414;0.078597105;0.79507003;-1.637.204.158;1.610.547.898;3.059.194.909
Yemen;Middle East/Central Asia;52.1;64;0.46;"$1;780 ";LM;31.2;0.3;0.1;0;0.2;0.1;0;0.6;0.1;0.1;0.030011215;0.146865083;0.01953004;0.347502131;-0.265756229;0.406073446;1.764.761.437
Zambia;Africa;;;;;LM;19.5;0.3;0.1;0.5;0.2;0;0.1;1.2;0.3;0.7;0.62078114;0.016994124;0.063169875;1.651.919.903;0.438704985;0.803339009;0.734427206

Zimbabwe;Africa;;;;;LI;15.3;0.3;0.3;0.3;0.3;0;0;1.1;0.2;0.3;0.118372555;0.008839451;0.026970101;0.631495216;-0.453895888;0.718699548;1.718.763.779
